tourney_date,player_name,rank,rank_points,age
2025-09-17,Coleman Wong,149.0,418.0,21.2
2025-09-17,Gael Monfils,52.0,975.0,39.0
2025-09-24,Yosuke Watanuki,147.0,401.0,27.4
2025-09-24,Sho Shimabukuro,273.0,198.0,28.1
2025-10-01,Rei Sakamoto,188.0,292.0,19.2
2025-10-01,August Holmgren,178.0,315.0,27.4
2025-10-01,Zhizhen Zhang,368.0,135.0,28.9
2025-10-01,James Trotter,213.0,257.0,26.1
2025-10-01,Frances Tiafoe,28.0,1640.0,27.6
2025-10-01,Mariano Navone,86.0,745.0,24.5
2025-10-01,Yibing Wu,159.0,372.0,25.9
2025-10-01,Yi Zhou,308.0,170.0,20.5
2025-10-01,Juan Manuel Cerundolo,87.0,742.0,23.8
2025-10-01,Christopher Oconnell,109.0,582.0,31.3
2025-10-01,Jordan Thompson,85.0,745.0,31.4
2025-10-01,Juncheng Shang,237.0,235.0,20.6
2025-10-01,Bu Yunchaokete,121.0,531.0,23.6
2025-10-01,Dalibor Svrcina,91.0,684.0,22.9
2025-10-01,Yoshihito Nishioka,173.0,324.0,30.0
2025-10-13,Sebastian Ofner,140.0,463.0,29.4
2025-10-13,Federico Cina,226.0,247.0,18.5
2025-10-13,Elias Ymer,243.0,225.0,29.5
2025-10-13,Marton Fucsovics,55.0,986.0,33.6
2025-10-13,Leo Borg,622.0,57.0,22.4
2025-10-13,Jesper De Jong,82.0,760.0,25.3
2025-10-13,Mark Lajal,149.0,423.0,22.4
2025-10-13,Giulio Zeppieri,160.0,362.0,23.8
2025-10-13,Arthur Fery,221.0,251.0,23.2
2025-10-13,Mikael Ymer,617.0,57.0,27.0
2025-10-13,Holger Rune,11.0,3090.0,22.4
2025-10-13,Bernard Tomic,181.0,312.0,32.9
2025-10-13,Amir Omarkhanov,1137.0,10.0,17.9
2025-10-13,Mattia Bellucci,71.0,837.0,24.3
2025-10-13,Beibit Zhukayev,237.0,235.0,25.0
2025-10-13,Marko Topo,277.0,196.0,22.0
2025-10-13,Rinky Hijikata,114.0,558.0,24.6
2025-10-13,Alexander Shevchenko,91.0,687.0,24.8
2025-10-13,Shintaro Mochizuki,102.0,636.0,22.3
2025-10-13,James Duckworth,138.0,465.0,33.7
2025-10-13,Timofey Skatov,236.0,238.0,24.7
2025-10-13,Luca Nardi,83.0,747.0,22.1
2025-10-13,Benjamin Bonzi,53.0,1005.0,29.3
2025-10-13,Nikoloz Basilashvili,101.0,642.0,33.6
2025-10-13,Gilles Arnaud Bailly,247.0,221.0,20.0
2025-10-13,Tristan Schoolkate,96.0,662.0,24.6
2025-10-13,Emil Ruusuvuori,608.0,58.0,26.5
2025-10-20,Hamad Medjedovic,67.0,875.0,22.2
2025-10-20,Marin Cilic,89.0,709.0,37.0
2025-10-20,Jenson Brooksby,55.0,967.0,24.9
2025-10-20,David Goffin,104.0,609.0,34.8
2025-10-20,Remy Bertola,268.0,203.0,27.1
2025-10-20,Henry Bernet,481.0,89.0,18.7
2025-10-20,Matteo Arnaldi,72.0,818.0,24.6
2025-10-20,Ugo Humbert,24.0,1880.0,27.3
2025-10-27,Tomas Machac,34.0,1445.0,25.0
2025-10-27,Gabriel Diallo,42.0,1228.0,24.0
2025-10-27,Tallon Griekspoor,25.0,1655.0,29.3
2025-10-27,Denis Shapovalov,24.0,1928.0,26.5
2025-10-27,Ethan Quinn,71.0,837.0,21.6
2025-10-27,Alex Michelsen,35.0,1440.0,21.1
2025-10-27,Francisco Comesana,68.0,880.0,25.0
2025-10-27,Fabian Marozsan,48.0,1065.0,26.0
2025-10-27,Sebastian Baez,43.0,1155.0,24.8
2025-10-27,Camilo Ugo Carabelli,49.0,1053.0,26.3
2025-10-27,Grigor Dimitrov,38.0,1330.0,34.4
2025-10-27,Daniil Medvedev,13.0,2810.0,29.7
2025-10-27,Karen Khachanov,14.0,2620.0,29.4
2025-10-27,Alejandro Davidovich Fokina,15.0,2585.0,26.3
2025-10-27,Andrey Rublev,17.0,2470.0,28.0
2025-10-27,Valentin Vacherot,40.0,1283.0,26.9
